Name;M;V_all;V_concrete;rho_concrete;V_steel;rho_steel;S_surface;S_all;S_holes;thickness;x;y;z
BV LSFT;445.4;-;-;-;-;-;-;-;-;-;-2.06E-03;3.35E-03;-3.23E-01
TV LSFT;517.6;-;-;-;-;-;-;-;-;-;-2.08E-03;-3.35E-03;3.23E-01
BV CDL;250.0;-;-;-;-;-;-;-;-;-;-2.06E-03;3.35E-03;-3.23E-01
TV CDL;250.0;-;-;-;-;-;-;-;-;-;-2.08E-03;-3.35E-03;3.23E-01
BIO SHIELD (top);121.6;-;0.04052406;3000;-;7930;-;-;-;-;;;
BIO SHIELD (right-left after top);61.9;-;0.0206338;3000;-;7930;-;-;-;-;;;
BIO SHIELD (right-left);64.7;-;0.0215717;3000;-;7930;-;-;-;-;;;
ISS SB #1;582.3;1.77E-01;1.66E-01;3000;1.05E-02;7930;2.10E+00;2.45E+00;3.52E-01;5.00E-03;1.67E+01;6.13E-01;-4.46E-02
ISS SB #2;838.6;2.55E-01;2.40E-01;3000;1.49E-02;7930;2.98E+00;-;-;5.00E-03;1.60E+01;5.66E-01;-8.40E-02
ISS SB #3;743.5;2.24E-01;2.10E-01;3000;1.43E-02;7930;2.86E+00;3.55E+00;6.90E-01;5.00E-03;1.50E+01;4.79E-01;-9.77E-03
ISS SB #4;736.4;2.22E-01;2.08E-01;3000;1.43E-02;7930;2.87E+00;3.55E+00;6.82E-01;5.00E-03;1.40E+01;4.77E-01;-1.43E-02
ISS SB #5;903.1;2.72E-01;2.54E-01;3000;1.76E-02;7930;3.53E+00;-;-;5.00E-03;1.28E+01;4.74E-01;-3.82E-02
ISS SB #6;548.5;1.66E-01;1.55E-01;3000;1.04E-02;7930;2.07E+00;2.44E+00;3.64E-01;5.00E-03;1.67E+01;6.17E-01;6.83E-01
ISS SB #7;767.1;2.32E-01;2.17E-01;3000;1.46E-02;7930;2.92E+00;-;-;5.00E-03;1.60E+01;5.60E-01;6.93E-01
ISS SB #8;504.6;1.50E-01;1.39E-01;3000;1.10E-02;7930;2.20E+00;2.91E+00;7.14E-01;5.00E-03;1.50E+01;4.84E-01;7.44E-01
ISS SB #9;503.4;1.50E-01;1.39E-01;3000;1.10E-02;7930;2.19E+00;2.91E+00;7.13E-01;5.00E-03;1.40E+01;4.90E-01;7.44E-01
ISS SB #10;399.1;1.15E-01;1.04E-01;3000;1.08E-02;7930;2.17E+00;-;-;5.00E-03;1.29E+01;5.06E-01;7.02E-01
ISS SB #11;827.2;2.53E-01;2.40E-01;3000;1.36E-02;7930;2.71E+00;2.99E+00;2.78E-01;5.00E-03;1.67E+01;6.23E-01;1.53E+00
ISS SB #12;1263.5;3.91E-01;3.73E-01;3000;1.81E-02;7930;3.63E+00;-;-;5.00E-03;1.60E+01;5.63E-01;1.58E+00
ISS SB #13;833.2;2.53E-01;2.37E-01;3000;1.52E-02;7930;3.05E+00;3.59E+00;5.45E-01;5.00E-03;1.50E+01;4.67E-01;1.58E+00
ISS SB #14;833.2;2.53E-01;2.37E-01;3000;1.52E-02;7930;3.05E+00;3.59E+00;5.45E-01;5.00E-03;1.40E+01;4.66E-01;1.58E+00
ISS SB #15;1042.5;3.15E-01;2.96E-01;3000;1.97E-02;7930;3.93E+00;-;-;5.00E-03;1.29E+01;4.76E-01;1.52E+00
ISS SB #16;1707.2;5.24E-01;4.97E-01;3000;2.72E-02;7930;5.43E+00;-;-;5.00E-03;1.63E+01;-5.80E-01;1.19E-01
ISS SB #17;729.4;2.19E-01;2.04E-01;3000;1.49E-02;7930;2.99E+00;-;-;5.00E-03;1.63E+01;-5.72E-01;7.24E-01
ISS SB #18;1102.2;3.37E-01;3.18E-01;3000;1.86E-02;7930;3.73E+00;-;-;5.00E-03;1.63E+01;-5.77E-01;1.15E+00
ISS SB #19;639.8;1.93E-01;1.81E-01;3000;1.21E-02;7930;2.42E+00;-;-;5.00E-03;1.66E+01;-6.11E-01;1.72E+00
ISS SB #20;98.6;2.75E-02;2.43E-02;3000;3.25E-03;7930;6.49E-01;6.49E-01;0.00E+00;5.00E-03;1.55E+01;-4.65E-01;1.71E+00
ISS SB #21;685.3;2.10E-01;1.98E-01;3000;1.15E-02;7930;2.29E+00;2.59E+00;3.01E-01;5.00E-03;1.67E+01;1.96E-03;6.26E-01
ISS SB #22;1411.2;4.40E-01;4.21E-01;3000;1.86E-02;7930;3.71E+00;4.30E+00;5.91E-01;5.00E-03;1.60E+01;1.07E-03;6.30E-01
ISS SB #23;1411.2;4.40E-01;4.21E-01;3000;1.86E-02;7930;3.71E+00;4.30E+00;5.91E-01;5.00E-03;1.50E+01;6.87E-05;6.30E-01
ISS SB #24;1401.8;4.37E-01;4.18E-01;3000;1.87E-02;7930;3.74E+00;4.33E+00;5.91E-01;5.00E-03;1.40E+01;-2.20E-03;6.29E-01
ISS SB #25;1277.0;3.95E-01;3.76E-01;3000;1.87E-02;7930;3.74E+00;4.52E+00;7.71E-01;5.00E-03;1.28E+01;-1.31E-02;5.14E-01
ISS SB #26;387.2;1.15E-01;1.06E-01;3000;8.57E-03;7930;1.71E+00;2.01E+00;2.99E-01;5.00E-03;1.20E+01;-6.82E-03;6.54E-01
ISS SB #27;2509.3;4.59E-01;2.30E-01;3000;2.30E-01;7930;0.00E+00;-;-;5.00E-03;1.45E+01;1.77E-02;-5.05E-02
ISS SB #28;3995.7;7.31E-01;3.66E-01;3000;3.66E-01;7930;0.00E+00;-;-;5.00E-03;1.45E+01;4.03E-03;1.57E+00
ISS SB #29;43.8;1.18E-02;1.01E-02;3000;1.72E-03;7930;3.43E-01;3.43E-01;0.00E+00;5.00E-03;1.64E+01;-1.11E+00;-6.50E-01
ISS SB #30;43.8;1.18E-02;1.01E-02;3000;1.72E-03;7930;3.43E-01;3.43E-01;0.00E+00;5.00E-03;1.64E+01;-1.11E+00;-6.50E-01
